Away Team,Home Team,Winner
UT Rio Grande Valley,Georgia Tech,Georgia Tech
Texas St.,Cal Poly,Texas St.
Toledo,UC Irvine,Toledo
Utah Valley,Long Beach St.,Utah Valley
Washington,Minnesota,Minnesota
Western Illinois,Tennessee Martin,Tennessee Martin
Wright St.,SMU,SMU
Xavier,Illinois,Xavier
Yale,Vermont,Vermont
Virginia,Dayton,Virginia
Tulsa,Nevada,Nevada
Texas,North Carolina,Texas
Michigan St.,UCLA,Michigan St.
UAB,Florida St.,Florida St.
College of Charleston,LSU,LSU
Wisconsin,Oklahoma,Wisconsin
UC Riverside,Pacific,Pacific
Elon,Abilene Christian,Abilene Christian
Hawaii,Utah,Hawaii
La Salle,Miami FL,Miami FL
Massachusetts,Southern Illinois,Massachusetts
Middle Tennessee,Butler,Butler
Northwestern,Fresno St.,Fresno St.
Oklahoma St.,Memphis,Oklahoma St.
Seton Hall,Grand Canyon,Seton Hall
Stanford,Florida,Florida
Villanova,Canisius,Villanova
Tennessee,Kansas,Kansas
Virginia,Wisconsin,Virginia
Massachusetts,Nevada,Nevada
North Carolina,UCLA,North Carolina
Chattanooga,Michigan,Michigan
Tennessee St.,Kentucky,Kentucky
Texas,Michigan St.,Michigan St.
LSU,Florida St.,Florida St.
Cleveland St.,Ohio St.,Ohio St.
Robert Morris,Purdue,Purdue
Abilene Christian,Pacific,Abilene Christian
Alabama A&M,Northwestern St.,Northwestern St.
Albany,Milwaukee,Milwaukee
Alcorn St.,Liberty,Liberty
Arkansas St.,UNC Wilmington,UNC Wilmington
Baylor,Mississippi,Mississippi
Boston University,Rutgers,Rutgers
Butler,Florida,Butler
Cal Poly,Portland,Portland
Cal Baptist,Arkansas Pine Bluff,Arkansas Pine Bluff
UC Davis,Indiana,Indiana
Canisius,Memphis,Memphis
College of Charleston,UAB,College of Charleston
Coppin St.,Charleston Southern,Charleston Southern
Dayton,Oklahoma,Oklahoma
Denver,Seattle,Seattle
Eastern Illinois,Gardner Webb,Eastern Illinois
Elon,UC Riverside,UC Riverside
Fairfield,Longwood,Longwood
George Mason,Cincinnati,Cincinnati
Grambling St.,Niagara,Grambling St.
Grand Canyon,Utah,Utah
Houston Baptist,Wake Forest,Houston Baptist
Howard,Little Rock,Little Rock
James Madison,Oakland,Oakland
Kent St.,Vanderbilt,Kent St.
La Salle,Northwestern,Northwestern
Lamar,UT Rio Grande Valley,UT Rio Grande Valley
Louisiana Monroe,Tennessee Tech,Tennessee Tech
Louisville,Marquette,Marquette
Marshall,Maryland,Maryland
Miami FL,Fresno St.,Miami FL
Middle Tennessee,Stanford,Stanford
Nicholls St.,North Carolina Central,Nicholls St.
UNC Greensboro,Delaware,UNC Greensboro
Northern Illinois,Oral Roberts,Northern Illinois
Northern Iowa,Old Dominion,Old Dominion
Portland St.,UC Santa Barbara,UC Santa Barbara
Prairie View A&M,Georgia Tech,Georgia Tech
Samford,Fort Wayne,Samford
Seton Hall,Hawaii,Seton Hall
South Alabama,Texas A&M,Texas A&M
Southern,Western Michigan,Western Michigan
Southern Utah,UNLV,UNLV
St. Francis NY,IUPUI,IUPUI
UT Arlington,Arkansas,Arkansas
Texas St.,USC Upstate,Texas St.
Tulsa,Southern Illinois,Southern Illinois
Villanova,Oklahoma St.,Villanova
VMI,Stetson,VMI
Lehigh,Kansas St.,Kansas St.
St. Francis PA,Virginia Tech,Virginia Tech
Marist,Buffalo,Buffalo
Abilene Christian,UC Riverside,Abilene Christian
American,UMBC,American
Arkansas Pine Bluff,Little Rock,Arkansas Pine Bluff
Army,Miami OH,Miami OH
Austin Peay,Ohio,Ohio
Belmont,Kennesaw St.,Belmont
Cal St. Fullerton,Sacramento St.,Sacramento St.
Cal Baptist,Howard,Howard
Campbell,Georgetown,Georgetown
Central Arkansas,Saint Louis,Saint Louis
Chicago St.,Bradley,Bradley
Cincinnati,Mississippi,Cincinnati
The Citadel,South Florida,The Citadel
Colgate,Siena,Colgate
Colorado,Air Force,Colorado
Dartmouth,San Francisco,San Francisco
Delaware St.,Washington St.,Washington St.
Denver,Longwood,Denver
DePaul,Notre Dame,Notre Dame
Detroit,Eastern Michigan,Detroit
Eastern Illinois,Arkansas St.,Eastern Illinois
Elon,Pacific,Pacific
Evansville,Ball St.,Ball St.
Fairfield,Seattle,Seattle
Florida A&M,Loyola Marymount,Loyola Marymount
George Mason,Baylor,Baylor
Grambling St.,IUPUI,IUPUI
Harvard,Saint Mary's,Harvard
High Point,East Carolina,High Point
Hofstra,VCU,VCU
Houston,BYU,Houston
Idaho,UC Santa Barbara,UC Santa Barbara
Iona,Providence,Providence
Jackson St.,San Diego,San Diego
Jacksonville,Western Carolina,Western Carolina
Manhattan,George Washington,George Washington
Mercer,North Carolina St.,North Carolina St.
Missouri St.,Murray St.,Murray St.
Montana St.,Nebraska Omaha,Nebraska Omaha
New Hampshire,Connecticut,Connecticut
Nicholls St.,Western Michigan,Nicholls St.
NJIT,LIU Brooklyn,NJIT
North Alabama,Troy,Troy
North Carolina Central,Southern,North Carolina Central
UNC Greensboro,Louisiana Tech,UNC Greensboro
UNC Wilmington,Gardner Webb,Gardner Webb
North Dakota,Utah Valley,Utah Valley
North Dakota St.,East Tennessee St.,East Tennessee St.
Northeastern,Davidson,Davidson
Northern Colorado,Texas Tech,Texas Tech
Northern Illinois,James Madison,James Madison
Northern Kentucky,UCF,UCF
Oral Roberts,Oakland,Oakland
Princeton,Monmouth,Princeton
Rider,Wagner,Rider
Sacred Heart,Binghamton,Binghamton
Saint Joseph's,William & Mary,William & Mary
Saint Peter's,North Texas,North Texas
Santa Clara,San Jose St.,Santa Clara
Savannah St.,Alcorn St.,Savannah St.
USC Upstate,Cal Poly,Cal Poly
St. Francis NY,Niagara,St. Francis NY
Stony Brook,Rhode Island,Stony Brook
UTEP,New Mexico,New Mexico
Texas St.,Portland,Texas St.
Valparaiso,West Virginia,West Virginia
Western Illinois,Nebraska,Nebraska
Western Kentucky,Indiana St.,Indiana St.
Villanova,Florida St.,Villanova
Oklahoma St.,LSU,Oklahoma St.
Alabama A&M,Fordham,Fordham
Bryant,Brown,Brown
Bucknell,Vermont,Bucknell
Cal St. Bakersfield,USC,USC
Canisius,UAB,UAB
Denver,Fairfield,Fairfield
Drexel,Bowling Green,Bowling Green
Eastern Illinois,UNC Wilmington,UNC Wilmington
Florida Gulf Coast,Florida Atlantic,Florida Atlantic
Fresno St.,Hawaii,Fresno St.
Furman,UNC Asheville,Furman
Gardner Webb,Arkansas St.,Arkansas St.
Hampton,Richmond,Hampton
Incarnate Word,SIU Edwardsville,SIU Edwardsville
Fort Wayne,Cleveland St.,Fort Wayne
La Salle,Grand Canyon,Grand Canyon
Lafayette,Fairleigh Dickinson,Lafayette
Lipscomb,Morehead St.,Lipscomb
Longwood,Seattle,Seattle
Loyola MD,Towson,Towson
Maine,Quinnipiac,Quinnipiac
UMass Lowell,Duquesne,Duquesne
Memphis,College of Charleston,College of Charleston
Miami FL,Seton Hall,Seton Hall
Mississippi Valley St.,Illinois,Illinois
Mount St. Mary's,Morgan St.,Morgan St.
Northern Illinois,Oakland,Northern Illinois
Northwestern,Utah,Northwestern
Oral Roberts,James Madison,Oral Roberts
Oregon St.,Long Beach St.,Oregon St.
Rice,Wichita St.,Wichita St.
Savannah St.,Liberty,Liberty
South Carolina St.,Samford,Samford
North Dakota St.,Gonzaga,Gonzaga
Texas Southern,Oregon,Texas Southern
Alcorn St.,Mississippi St.,Mississippi St.
Eastern Michigan,TCU,TCU
Idaho St.,Pepperdine,Pepperdine
Louisiana Tech,Delaware,Delaware
Minnesota,Boston College,Boston College
Murray St.,Alabama,Alabama
Nebraska,Clemson,Nebraska
Nebraska Omaha,Iowa St.,Iowa St.
Santa Clara,California,California
Stetson,Bethune Cookman,Bethune Cookman
UTSA,Houston Baptist,UTSA
Wofford,South Carolina,Wofford
Indiana,Duke,Duke
Nevada,Loyola Chicago,Nevada
Michigan St.,Louisville,Louisville
Virginia Tech,Penn St.,Penn St.
Pittsburgh,Iowa,Iowa
North Carolina St.,Wisconsin,Wisconsin
American,VMI,American
Arkansas Pine Bluff,Cincinnati,Cincinnati
Boise St.,Drake,Drake
Cal St. Northridge,Washington St.,Washington St.
Charleston Southern,Marquette,Marquette
Charlotte,Davidson,Davidson
East Carolina,UNC Wilmington,UNC Wilmington
East Tennessee St.,Georgia Southern,East Tennessee St.
Eastern Washington,Washington,Washington
Fairleigh Dickinson,Providence,Providence
Hartford,Sacred Heart,Sacred Heart
High Point,The Citadel,The Citadel
Illinois,Notre Dame,Notre Dame
Iona,Ohio,Ohio
Jackson St.,San Diego St.,San Diego St.
Kennesaw St.,Georgia,Georgia
Lamar,SMU,SMU
Louisiana Monroe,Northwestern St.,Louisiana Monroe
Maryland Eastern Shore,St. John's,St. John's
UMass Lowell,Connecticut,Connecticut
North Dakota,Montana St.,Montana St.
North Florida,Florida,Florida
North Texas,Oklahoma,Oklahoma
Northern Kentucky,Morehead St.,Northern Kentucky
Penn,Delaware St.,Penn
Savannah St.,Vanderbilt,Vanderbilt
South Dakota,Baylor,Baylor
Southern Illinois,Colorado St.,Southern Illinois
Stony Brook,Norfolk St.,Stony Brook
Temple,Missouri,Temple
UT Arlington,Tulsa,Tulsa
Western Carolina,Wake Forest,Wake Forest
Virginia,Maryland,Virginia
Eastern Kentucky,Tennessee,Tennessee
North Carolina,Michigan,Michigan
Saint Peter's,Auburn,Auburn
Monmouth,Kentucky,Kentucky
Purdue,Florida St.,Florida St.
Syracuse,Ohio St.,Syracuse
Alabama St.,Akron,Akron
Little Rock,Central Arkansas,Central Arkansas
Binghamton,Army,Army
Boston University,New Hampshire,Boston University
Bradley,IUPUI,IUPUI
BYU,Illinois St.,Illinois St.
Brown,Rhode Island,Rhode Island
UC Irvine,Saint Mary's,UC Irvine
Canisius,St. Bonaventure,St. Bonaventure
Central Michigan,Sam Houston St.,Central Michigan
Cleveland St.,DePaul,DePaul
Cornell,Lafayette,Cornell
FIU,Florida Gulf Coast,FIU
Gardner Webb,USC Upstate,Gardner Webb
Georgia St.,Tulane,Georgia St.
Georgia Tech,Northwestern,Northwestern
Hawaii,UCLA,UCLA
Holy Cross,Harvard,Harvard
Illinois Chicago,Saint Joseph's,Saint Joseph's
Indiana St.,San Jose St.,Indiana St.
Fort Wayne,Eastern Illinois,Fort Wayne
Kent St.,Detroit,Kent St.
Liberty,Navy,Liberty
Long Beach St.,USC,USC
Louisiana Lafayette,New Orleans,Louisiana Lafayette
Miami OH,Xavier,Xavier
UMKC,South Dakota St.,South Dakota St.
Missouri St.,Air Force,Air Force
Montana,Creighton,Creighton
Morgan St.,George Mason,George Mason
Nebraska Omaha,Arizona St.,Arizona St.
New Mexico St.,UTEP,New Mexico St.
NJIT,Drexel,NJIT
North Alabama,Toledo,Toledo
Northeastern,Bucknell,Northeastern
Northern Colorado,Denver,Northern Colorado
Northern Illinois,Green Bay,Green Bay
Northern Iowa,Utah St.,Utah St.
Pacific,Fresno St.,Fresno St.
Portland,Colorado,Colorado
Portland St.,Stanford,Stanford
Princeton,Maine,Princeton
Quinnipiac,Massachusetts,Massachusetts
Rice,Texas St.,Texas St.
Richmond,Georgetown,Georgetown
Rider,West Virginia,West Virginia
Rutgers,Miami FL,Rutgers
San Diego,Mississippi,Mississippi
Siena,Hofstra,Hofstra
South Alabama,Southern Miss,Southern Miss
South Carolina St.,College of Charleston,College of Charleston
SIU Edwardsville,Western Illinois,Western Illinois
St. Francis NY,Presbyterian,St. Francis NY
Stetson,South Florida,South Florida
UT Rio Grande Valley,Houston,Houston
Valparaiso,UNLV,Valparaiso
Vermont,George Washington,Vermont
VCU,Old Dominion,Old Dominion
William & Mary,Marshall,Marshall
Winthrop,Tennessee Tech,Winthrop
Wyoming,Evansville,Evansville
Yale,Bryant,Yale
Youngstown St.,Robert Morris,Robert Morris
Alabama,UCF,UCF
UAB,Alabama A&M,UAB
Austin Peay,Troy,Austin Peay
Belmont,Samford,Belmont
Cal Baptist,UC Riverside,Cal Baptist
Central Connecticut,North Carolina A&T,North Carolina A&T
Coppin St.,James Madison,James Madison
Dartmouth,Marist,Marist
Florida A&M,North Florida,North Florida
Georgia Southern,Arizona,Arizona
Hampton,Norfolk St.,Norfolk St.
Jackson St.,Santa Clara,Santa Clara
LIU Brooklyn,Albany,LIU Brooklyn
McNeese St.,SMU,SMU
Northern Arizona,UC Davis,UC Davis
Sacramento St.,UC Santa Barbara,UC Santa Barbara
Sacred Heart,Boston College,Boston College
Gonzaga,Creighton,Gonzaga
Stanford,Kansas,Kansas
Stetson,Duke,Duke
Nevada,USC,Nevada
Purdue,Michigan,Michigan
UNC Greensboro,Kentucky,Kentucky
Kansas St.,Marquette,Marquette
Central Connecticut,Virginia Tech,Virginia Tech
Oregon,Houston,Houston
Texas Tech,Memphis,Texas Tech
Buffalo,San Francisco,Buffalo
Villanova,La Salle,Villanova
Penn St.,Maryland,Maryland
Abilene Christian,Pepperdine,Pepperdine
Air Force,Pacific,Pacific
Arkansas St.,Lehigh,Lehigh
Austin Peay,Alabama A&M,Austin Peay
Ball St.,IUPUI,Ball St.
Baylor,Wichita St.,Wichita St.
Belmont,Green Bay,Green Bay
Boise St.,Grand Canyon,Grand Canyon
Boston University,Elon,Boston University
Bowling Green,Hartford,Hartford
BYU,Weber St.,Weber St.
Brown,Navy,Brown
Butler,Saint Louis,Saint Louis
Cal Poly,Fresno St.,Fresno St.
Cal St. Bakersfield,South Dakota,South Dakota
California,Saint Mary's,Saint Mary's
Charlotte,College of Charleston,College of Charleston
Cincinnati,UNLV,Cincinnati
Cleveland St.,Toledo,Toledo
Colorado St.,Colorado,Colorado
Cornell,Syracuse,Syracuse
Davidson,UNC Wilmington,Davidson
Delaware St.,St. Bonaventure,St. Bonaventure
Denver,Utah Valley,Utah Valley
Detroit,Akron,Akron
Drake,North Dakota St.,Drake
East Tennessee St.,Wofford,Wofford
Eastern Illinois,Chicago St.,Chicago St.
Eastern Kentucky,High Point,Eastern Kentucky
Eastern Michigan,Northeastern,Northeastern
Eastern Washington,Seattle,Seattle
Fairfield,Army,Army
Fairleigh Dickinson,Holy Cross,Holy Cross
Florida A&M,South Alabama,South Alabama
Florida Atlantic,Bethune Cookman,Bethune Cookman
FIU,Arkansas,Arkansas
Fordham,Manhattan,Fordham
George Mason,William & Mary,George Mason
George Washington,Princeton,Princeton
Georgia St.,Liberty,Liberty
Grambling St.,LSU,LSU
Harvard,Siena,Siena
Hofstra,Kennesaw St.,Hofstra
Houston Baptist,Louisiana Tech,Louisiana Tech
Idaho,North Dakota,Idaho
Iona,VCU,VCU
Jacksonville St.,North Alabama,Jacksonville St.
James Madison,Old Dominion,Old Dominion
Lamar,Rice,Lamar
Lipscomb,Middle Tennessee,Lipscomb
Long Beach St.,San Diego,San Diego
Louisiana Monroe,Mississippi,Mississippi
Louisville,Seton Hall,Louisville
Loyola Chicago,Illinois Chicago,Loyola Chicago
Maine,Saint Peter's,Saint Peter's
Marshall,Ohio,Ohio
McNeese St.,North Carolina Central,North Carolina Central
Mercer,The Citadel,The Citadel
Milwaukee,Stephen F. Austin,Stephen F. Austin
Mississippi Valley St.,Cal Baptist,Cal Baptist
UMKC,Fort Wayne,UMKC
Missouri St.,Oregon St.,Oregon St.
Monmouth,Bucknell,Bucknell
Mount St. Mary's,Loyola MD,Loyola MD
New Hampshire,Bryant,Bryant
New Mexico,Bradley,New Mexico
NJIT,UMass Lowell,UMass Lowell
Norfolk St.,Kent St.,Kent St.
UNC Asheville,Tennessee Martin,Tennessee Martin
North Florida,Charleston Southern,North Florida
Northern Arizona,Santa Clara,Santa Clara
Northern Colorado,Wyoming,Northern Colorado
Northern Iowa,South Dakota St.,South Dakota St.
Northwestern,Indiana,Indiana
Northwestern St.,UTEP,UTEP
Oakland,Xavier,Xavier
Prairie View A&M,Murray St.,Murray St.
Presbyterian,North Carolina A&T,Presbyterian
Quinnipiac,Stony Brook,Stony Brook
Rhode Island,Providence,Providence
Robert Morris,Drexel,Drexel
Sacramento St.,Cal St. Northridge,Sacramento St.
Sam Houston St.,Little Rock,Little Rock
San Diego St.,Illinois St.,San Diego St.
Savannah St.,Gardner Webb,Gardner Webb
South Carolina St.,Jacksonville,Jacksonville
USC Upstate,Western Michigan,USC Upstate
Southeastern Louisiana,Tulane,Southeastern Louisiana
Southern,Louisiana Lafayette,Louisiana Lafayette
Southern Illinois,SIU Edwardsville,Southern Illinois
St. John's,Georgia Tech,St. John's
Temple,Saint Joseph's,Temple
Tennessee St.,Western Kentucky,Western Kentucky
Tennessee Tech,Chattanooga,Chattanooga
UT Rio Grande Valley,UT Arlington,UT Rio Grande Valley
Texas Southern,Arizona St.,Arizona St.
Texas St.,UTSA,Texas St.
Tulsa,Utah,Utah
Utah St.,UC Irvine,Utah St.
Vanderbilt,North Carolina St.,North Carolina St.
VMI,Longwood,Longwood
Wake Forest,Richmond,Richmond
Washington St.,New Mexico St.,New Mexico St.
Western Carolina,Furman,Furman
Western Illinois,Southeast Missouri St.,Western Illinois
Wright St.,Indiana St.,Indiana St.
Yale,Miami FL,Yale
Youngstown St.,West Virginia,West Virginia
Minnesota,Ohio St.,Ohio St.
Arizona,Connecticut,Arizona
UC Riverside,Valparaiso,Valparaiso
UC Santa Barbara,Washington,Washington
UCF,Missouri,Missouri
Colgate,Florida Gulf Coast,Colgate
Delaware,Columbia,Delaware
Illinois,Nebraska,Nebraska
Loyola Marymount,UCLA,UCLA
Maryland Eastern Shore,East Carolina,East Carolina
Oral Roberts,SMU,SMU
Sacred Heart,Lafayette,Sacred Heart
Morgan St.,Virginia,Virginia
Iowa,Michigan St.,Michigan St.
Troy,Florida St.,Florida St.
Rutgers,Wisconsin,Wisconsin
Cal St. Northridge,Pepperdine,Cal St. Northridge
Florida A&M,DePaul,DePaul
Liberty,Georgetown,Georgetown
UMBC,Coppin St.,UMBC
Niagara,Pittsburgh,Niagara
North Dakota St.,Iowa St.,Iowa St.
Northwestern St.,Texas A&M,Texas A&M
Texas Southern,Georgia,Georgia
Vermont,George Mason,Vermont
Wofford,Kansas,Kansas
Michigan,Northwestern,Michigan
UNC Asheville,Auburn,Auburn
McNeese St.,Mississippi St.,Mississippi St.
Furman,Elon,Furman
Army,NJIT,NJIT
Bethune Cookman,Saint Mary's,Saint Mary's
Bradley,Little Rock,Bradley
Bucknell,La Salle,Bucknell
Campbell,Abilene Christian,Abilene Christian
Central Michigan,Youngstown St.,Central Michigan
Detroit,Dayton,Dayton
Evansville,Arkansas St.,Arkansas St.
Florida,West Virginia,Florida
Fordham,Maine,Maine
Georgia St.,Alabama,Georgia St.
High Point,Valparaiso,High Point
Holy Cross,Massachusetts,Holy Cross
Howard,Appalachian St.,Appalachian St.
Indiana,Penn St.,Indiana
Jacksonville,Presbyterian,Jacksonville
Lamar,Houston,Houston
Lipscomb,Belmont,Belmont
UMass Lowell,Boston University,Boston University
Miami FL,Penn,Penn
New Hampshire,Seton Hall,Seton Hall
New Mexico,New Mexico St.,New Mexico St.
North Alabama,UAB,UAB
Northeastern,Syracuse,Syracuse
Northern Kentucky,Cincinnati,Cincinnati
Oklahoma,Notre Dame,Oklahoma
Prairie View A&M,Louisiana Tech,Louisiana Tech
Providence,Boston College,Providence
Radford,James Madison,James Madison
St. Francis PA,American,American
Saint Peter's,Clemson,Clemson
South Dakota,Colorado,Colorado
South Dakota St.,Memphis,Memphis
Southeast Missouri St.,Mississippi Valley St.,Southeast Missouri St.
UT Arlington,Missouri,Missouri
UTEP,Marquette,Marquette
Winthrop,Davidson,Davidson
Washington,Gonzaga,Gonzaga
Hartford,Duke,Duke
Arkansas Pine Bluff,Texas Tech,Texas Tech
UNC Wilmington,North Carolina,North Carolina
VMI,Virginia Tech,Virginia Tech
Ohio St.,Illinois,Ohio St.
Temple,Villanova,Villanova
Nebraska,Minnesota,Minnesota
Akron,Fort Wayne,Fort Wayne
Arkansas,Colorado St.,Arkansas
Ball St.,Loyola Chicago,Ball St.
Binghamton,Morgan St.,Morgan St.
Bowling Green,Cleveland St.,Cleveland St.
Brown,Butler,Butler
UC Davis,Northern Illinois,Northern Illinois
UC Irvine,Cal Baptist,UC Irvine
Central Arkansas,Louisville,Louisville
Colgate,Columbia,Colgate
Coppin St.,Richmond,Richmond
Denver,Air Force,Air Force
Detroit,Toledo,Toledo
Florida Gulf Coast,Oral Roberts,Florida Gulf Coast
Hampton,Coastal Carolina,Coastal Carolina
Idaho,Washington St.,Washington St.
Illinois St.,Illinois Chicago,Illinois Chicago
Lafayette,Connecticut,Connecticut
Lehigh,Yale,Yale
Loyola Marymount,Cal St. Fullerton,Loyola Marymount
Loyola MD,Drexel,Drexel
Marshall,Duquesne,Duquesne
Mercer,Florida Atlantic,Florida Atlantic
Miami OH,Wright St.,Miami OH
Middle Tennessee,Vanderbilt,Vanderbilt
Monmouth,Hofstra,Hofstra
Mount St. Mary's,St. John's,St. John's
Navy,Delaware,Navy
North Dakota,UT Rio Grande Valley,UT Rio Grande Valley
North Texas,Indiana St.,North Texas
Ohio,Xavier,Xavier
Oklahoma St.,Tulsa,Tulsa
Portland,Portland St.,Portland St.
Quinnipiac,Dartmouth,Quinnipiac
Robert Morris,Canisius,Canisius
Saint Joseph's,Princeton,Saint Joseph's
Saint Louis,Southern Illinois,Southern Illinois
San Diego,San Diego St.,San Diego
San Francisco,California,San Francisco
Siena,St. Bonaventure,St. Bonaventure
South Alabama,New Orleans,New Orleans
South Carolina,Wyoming,Wyoming
USC Upstate,Eastern Kentucky,Eastern Kentucky
Southern Utah,Long Beach St.,Long Beach St.
Stony Brook,Manhattan,Stony Brook
Tennessee Martin,Tulane,Tulane
TCU,SMU,TCU
Towson,George Washington,George Washington
Utah St.,BYU,BYU
VCU,Texas,VCU
Weber St.,Fresno St.,Fresno St.
Western Carolina,North Carolina St.,North Carolina St.
Western Illinois,Stetson,Stetson
Western Kentucky,Missouri St.,Missouri St.
William & Mary,Old Dominion,Old Dominion
Iowa St.,Iowa,Iowa
Maryland,Purdue,Purdue
Bethune Cookman,San Jose St.,San Jose St.
Charlotte,Wake Forest,Wake Forest
Drake,Milwaukee,Drake
Nebraska Omaha,Seattle,Seattle
Oakland,Fairfield,Oakland
Pepperdine,UC Riverside,UC Riverside
Utah Valley,Arizona,Arizona
Nevada,Arizona St.,Nevada
Bryant,Columbia,Columbia
Idaho St.,Santa Clara,Idaho St.
James Madison,George Mason,George Mason
Louisiana Tech,Stephen F. Austin,Louisiana Tech
Massachusetts,Providence,Massachusetts
New Mexico,Saint Mary's,Saint Mary's
UNC Greensboro,Elon,UNC Greensboro
Oral Roberts,Missouri,Missouri
Southern,South Dakota St.,South Dakota St.
TCU,USC,TCU
New Mexico St.,Kansas,Kansas
Yale,Duke,Duke
South Carolina,Michigan,Michigan
Dayton,Auburn,Auburn
Kentucky,Seton Hall,Seton Hall
Michigan St.,Florida,Michigan St.
Florida St.,Connecticut,Florida St.
Wisconsin,Marquette,Marquette
Kansas St.,Tulsa,Tulsa
Buffalo,St. Bonaventure,Buffalo
Saint Joseph's,Villanova,Villanova
Clemson,Mississippi St.,Mississippi St.
Loyola Chicago,Maryland,Maryland
Creighton,Nebraska,Nebraska
Furman,USC Upstate,Furman
UAB,Memphis,Memphis
American,Howard,Howard
Arkansas Pine Bluff,UC Santa Barbara,UC Santa Barbara
Arkansas St.,Minnesota,Minnesota
Army,Air Force,Army
Bethune Cookman,Cal Poly,Cal Poly
BYU,Utah,BYU
Cal St. Bakersfield,Idaho,Cal St. Bakersfield
Central Arkansas,Little Rock,Central Arkansas
Colgate,Penn St.,Penn St.
DePaul,Northwestern,Northwestern
Eastern Illinois,Western Illinois,Eastern Illinois
Eastern Washington,North Dakota St.,North Dakota St.
Georgetown,Syracuse,Syracuse
Georgia Southern,Mercer,Georgia Southern
Grambling St.,UCF,UCF
Green Bay,Bowling Green,Bowling Green
Harvard,Vermont,Vermont
Houston,Oklahoma St.,Houston
Houston Baptist,Texas St.,Texas St.
Illinois Chicago,Colorado,Colorado
Fort Wayne,Miami OH,Miami OH
Jackson St.,Pepperdine,Pepperdine
Jacksonville St.,Delaware St.,Jacksonville St.
Lafayette,Quinnipiac,Quinnipiac
Lehigh,Mount St. Mary's,Lehigh
Long Beach St.,Fresno St.,Fresno St.
LIU Brooklyn,Saint Peter's,LIU Brooklyn
Louisville,Indiana,Indiana
Loyola MD,Binghamton,Loyola MD
Maine,Dartmouth,Dartmouth
Marist,Stetson,Marist
UMBC,Drexel,UMBC
Mississippi,Illinois St.,Mississippi
UMKC,South Dakota,UMKC
Monmouth,Albany,Albany
Montana,UC Irvine,UC Irvine
Morgan St.,Towson,Morgan St.
Murray St.,Middle Tennessee,Murray St.
Nebraska Omaha,Oregon,Oregon
UNLV,Illinois,Illinois
North Carolina Central,Appalachian St.,Appalachian St.
Northern Illinois,Butler,Butler
Northern Kentucky,Eastern Kentucky,Eastern Kentucky
Notre Dame,UCLA,UCLA
Oakland,Northeastern,Northeastern
Penn,La Salle,Penn
Pittsburgh,West Virginia,West Virginia
Radford,Ohio,Ohio
Rhode Island,Holy Cross,Rhode Island
Rider,Hofstra,Hofstra
Rutgers,Fordham,Fordham
Sacramento St.,Portland,Portland
Sam Houston St.,Colorado St.,Colorado St.
San Diego St.,California,California
Siena,Robert Morris,Siena
Southern Illinois,Southeast Missouri St.,Southern Illinois
Southern Utah,Central Michigan,Central Michigan
St. Francis NY,NJIT,NJIT
Stony Brook,Brown,Brown
Tennessee Martin,East Tennessee St.,East Tennessee St.
UT Arlington,North Texas,North Texas
Toledo,Marshall,Toledo
Tulane,South Alabama,South Alabama
Utah Valley,Northern Arizona,Utah Valley
Valparaiso,George Washington,Valparaiso
Weber St.,Utah St.,Utah St.
Western Carolina,UNC Asheville,Western Carolina
Western Kentucky,Arkansas,Western Kentucky
Western Michigan,Youngstown St.,Western Michigan
Wichita St.,Oklahoma,Oklahoma
William & Mary,Hampton,William & Mary
Wright St.,Kent St.,Kent St.
Xavier,Cincinnati,Cincinnati
Tennessee,Gonzaga,Tennessee
VCU,Virginia,Virginia
Nevada,Grand Canyon,Nevada
South Carolina St.,Virginia Tech,Virginia Tech
Arizona,Alabama,Alabama
Ball St.,Evansville,Evansville
Cal St. Northridge,San Diego,San Diego
Coastal Carolina,Wofford,Wofford
Columbia,Iona,Columbia
Fairfield,Old Dominion,Old Dominion
Florida A&M,Georgia Tech,Georgia Tech
Incarnate Word,LSU,LSU
Longwood,Duquesne,Duquesne
Milwaukee,North Dakota,North Dakota
Montana St.,Washington St.,Montana St.
Navy,Lipscomb,Lipscomb
New Hampshire,Niagara,Niagara
Oregon St.,Saint Louis,Saint Louis
Princeton,St. John's,St. John's
Purdue,Texas,Texas
St. Francis PA,Delaware,Delaware
Samford,Alabama A&M,Samford
Seattle,Washington,Washington
Southern,Iowa St.,Iowa St.
Tennessee St.,Coppin St.,Tennessee St.
VMI,Chattanooga,Chattanooga
Cal St. Fullerton,Saint Mary's,Saint Mary's
Hofstra,Manhattan,Hofstra
Long Beach St.,Pacific,Pacific
Morehead St.,Marshall,Marshall
Sacred Heart,Dartmouth,Dartmouth
Villanova,Penn,Penn
Charleston Southern,Furman,Furman
Albany,Yale,Yale
Colorado,New Mexico,Colorado
Denver,Wyoming,Denver
Georgia Southern,UCF,UCF
Grambling St.,Louisiana Monroe,Louisiana Monroe
Loyola MD,Maryland,Maryland
UMass Lowell,St. Francis NY,St. Francis NY
Mississippi Valley St.,Louisiana Tech,Louisiana Tech
NJIT,Fordham,NJIT
North Florida,Minnesota,Minnesota
Prairie View A&M,Louisiana Lafayette,Louisiana Lafayette
Savannah St.,South Dakota St.,South Dakota St.
South Carolina St.,Liberty,Liberty
Towson,UMBC,Towson
