Away Team,Home Team,Winner
Portland,Hawaii,Hawaii
Prairie View A&M,Santa Clara,Prairie View A&M
Rice,Penn,Penn
Robert Morris,Missouri St.,Missouri St.
San Diego,UC Davis,San Diego
Savannah St.,Georgia,Georgia
Stanford,UNC Wilmington,Stanford
Stony Brook,South Carolina,Stony Brook
UTEP,New Mexico St.,New Mexico St.
Toledo,Oakland,Toledo
Utah Valley,BYU,BYU
Vermont,Boston University,Vermont
VMI,Pittsburgh,Pittsburgh
Wichita St.,Providence,Wichita St.
Yale,California,Yale
Texas Southern,Gonzaga,Gonzaga
Quinnipiac,Villanova,Villanova
Morehead St.,Syracuse,Syracuse
Holy Cross,Michigan,Michigan
Ball St.,Purdue,Purdue
Akron,Youngstown St.,Akron
Alabama A&M,Houston,Houston
Arkansas Pine Bluff,Colorado St.,Colorado St.
Bethune Cookman,Marquette,Marquette
UC Riverside,Portland St.,Portland St.
Central Connecticut,Georgetown,Georgetown
College of Charleston,Western Carolina,College of Charleston
Columbia,Marist,Marist
Coppin St.,Dayton,Dayton
Delaware,Saint Peter's,Delaware
Delaware St.,Grand Canyon,Grand Canyon
Eastern Illinois,IUPUI,IUPUI
Eastern Kentucky,Chattanooga,Eastern Kentucky
Evansville,Xavier,Xavier
Fairfield,Bucknell,Fairfield
Fordham,Houston Baptist,Houston Baptist
Idaho St.,Boise St.,Idaho St.
Illinois St.,Belmont,Belmont
Jackson St.,St. Bonaventure,St. Bonaventure
Jacksonville,Northern Arizona,Northern Arizona
Kent St.,Cleveland St.,Kent St.
Lafayette,La Salle,Lafayette
Loyola Marymount,UNLV,Loyola Marymount
Maine,San Francisco,San Francisco
Maryland Eastern Shore,North Carolina St.,North Carolina St.
Miami OH,Butler,Butler
North Carolina A&T,Wake Forest,Wake Forest
North Dakota,Milwaukee,North Dakota
Northern Iowa,UT Arlington,UT Arlington
Oklahoma St.,Charlotte,Charlotte
Portland,North Texas,North Texas
Presbyterian,Tennessee Tech,Presbyterian
South Carolina St.,Tulsa,Tulsa
Southeast Missouri St.,Bradley,Bradley
Southern,Baylor,Baylor
Southern Utah,San Jose St.,Southern Utah
Tennessee Martin,Western Kentucky,Western Kentucky
Tennessee St.,Lipscomb,Lipscomb
Troy,Saint Louis,Saint Louis
Wagner,UMass Lowell,UMass Lowell
Western Michigan,Mississippi,Mississippi
William & Mary,Duquesne,Duquesne
Winthrop,SIU Edwardsville,Winthrop
Wofford,High Point,Wofford
Wright St.,Murray St.,Murray St.
Wyoming,Oregon St.,Oregon St.
Army,Duke,Duke
George Washington,Virginia,Virginia
Florida Gulf Coast,Michigan St.,Michigan St.
Florida St.,Tulane,Florida St.
Hartford,Mississippi St.,Mississippi St.
Oral Roberts,TCU,TCU
Appalachian St.,Alabama,Alabama
Brown,NJIT,NJIT
Bryant,Seattle,Seattle
Cal Poly,Arizona,Arizona
UC Santa Barbara,North Dakota St.,North Dakota St.
Colgate,Cornell,Colgate
Dartmouth,Loyola MD,Dartmouth
Drexel,Rutgers,Rutgers
East Tennessee St.,Creighton,Creighton
Florida Atlantic,UCF,Florida Atlantic
Green Bay,Iowa,Iowa
Hofstra,Marshall,Marshall
Fort Wayne,Ohio St.,Ohio St.
Lamar,East Carolina,East Carolina
UMKC,Connecticut,Connecticut
Nicholls St.,Washington St.,Washington St.
North Texas,Hawaii,North Texas
Sam Houston St.,Louisiana Tech,Louisiana Tech
Southeastern Louisiana,Nebraska,Nebraska
Southern Miss,SMU,Southern Miss
St. Francis NY,Boston College,Boston College
Stetson,Missouri St.,Missouri St.
Utah Valley,Saint Mary's,Saint Mary's
Vanderbilt,USC,Vanderbilt
Vermont,Kansas,Kansas
Stanford,North Carolina,North Carolina
Denver,Kansas St.,Kansas St.
Buffalo,Southern Illinois,Buffalo
Alabama A&M,Rice,Rice
American,Northwestern,Northwestern
Austin Peay,South Florida,South Florida
Bowling Green,VCU,VCU
UC Davis,Arkansas,Arkansas
Campbell,Ohio,Ohio
Detroit,Butler,Butler
Illinois Chicago,Duquesne,Duquesne
Jacksonville,Grand Canyon,Grand Canyon
Jacksonville St.,Penn St.,Penn St.
Kennesaw St.,Samford,Samford
Long Beach St.,Arizona St.,Arizona St.
Louisiana Monroe,Texas,Texas
Manhattan,UMBC,UMBC
Middle Tennessee,Belmont,Belmont
Monmouth,Saint Joseph's,Saint Joseph's
Morgan St.,DePaul,DePaul
North Carolina A&T,Maryland,Maryland
Northern Arizona,South Dakota,South Dakota
Oklahoma,UTSA,Oklahoma
Prairie View A&M,Baylor,Baylor
San Diego,Washington,Washington
St. Bonaventure,Niagara,Niagara
Texas Southern,Iowa St.,Iowa St.
Troy,Pittsburgh,Pittsburgh
Utah,Minnesota,Minnesota
Georgia Tech,Tennessee,Tennessee
Memphis,LSU,LSU
Little Rock,Tennessee St.,Little Rock
Cal St. Northridge,Loyola Marymount,Loyola Marymount
Cal Baptist,Oral Roberts,Cal Baptist
UC Riverside,UNLV,UNLV
Canisius,Bucknell,Canisius
Chicago St.,Illinois St.,Illinois St.
Coastal Carolina,Tulane,Tulane
Delaware St.,Loyola MD,Loyola MD
Drake,Colorado,Colorado
Gardner Webb,Furman,Furman
George Mason,Georgia Southern,Georgia Southern
Georgetown,Illinois,Georgetown
Georgia,Temple,Temple
Hampton,California,California
Harvard,Massachusetts,Harvard
Holy Cross,Providence,Providence
Iona,New Mexico,New Mexico
Lafayette,Penn,Penn
LIU Brooklyn,Fairfield,LIU Brooklyn
Longwood,Maryland Eastern Shore,Longwood
Marist,Lehigh,Lehigh
UMass Lowell,Central Connecticut,Central Connecticut
Mercer,Georgia St.,Georgia St.
Milwaukee,FIU,FIU
Mississippi Valley St.,Utah St.,Utah St.
Nicholls St.,Idaho,Nicholls St.
Norfolk St.,South Carolina,South Carolina
North Alabama,Saint Louis,Saint Louis
UNC Asheville,North Carolina St.,North Carolina St.
North Carolina Central,Cincinnati,Cincinnati
UNC Greensboro,UNC Wilmington,UNC Greensboro
Northwestern St.,BYU,BYU
Pepperdine,Northern Colorado,Northern Colorado
Rhode Island,College of Charleston,College of Charleston
South Carolina St.,Charleston Southern,Charleston Southern
Southeastern Louisiana,Texas Tech,Texas Tech
Southern,Louisville,Louisville
Stephen F. Austin,Miami FL,Miami FL
Tennessee Tech,Savannah St.,Savannah St.
Western Michigan,Oakland,Western Michigan
Wisconsin,Xavier,Wisconsin
Eastern Michigan,Duke,Duke
Michigan,Villanova,Michigan
North Dakota,Kentucky,Kentucky
Louisiana Monroe,Michigan St.,Michigan St.
Sam Houston St.,Clemson,Clemson
Marquette,Indiana,Indiana
Boston University,Albany,Boston University
Coppin St.,Navy,Navy
Grambling St.,Wyoming,Wyoming
IUPUI,Boston College,IUPUI
Jacksonville St.,Bradley,Bradley
La Salle,Florida,Florida
Montana St.,Colorado St.,Colorado St.
Mount St. Mary's,Marshall,Marshall
New Orleans,UAB,UAB
Niagara,Loyola Chicago,Loyola Chicago
North Carolina A&T,Hofstra,Hofstra
Northern Arizona,Nebraska Omaha,Northern Arizona
Prairie View A&M,UT Rio Grande Valley,UT Rio Grande Valley
Radford,Notre Dame,Radford
Rice,Houston,Houston
Saint Mary's,New Mexico St.,Saint Mary's
Saint Peter's,Bryant,Bryant
Seton Hall,Nebraska,Nebraska
USC Upstate,VMI,VMI
St. Francis NY,Richmond,Richmond
Stetson,USC,USC
UTEP,Arizona,Arizona
UTSA,Oklahoma St.,Oklahoma St.
Texas Southern,San Diego St.,San Diego St.
Toledo,Wright St.,Wright St.
Washington St.,Seattle,Seattle
Western Carolina,SMU,SMU
Texas A&M,Gonzaga,Gonzaga
Oregon,Iowa,Iowa
Syracuse,Connecticut,Connecticut
Ball St.,Virginia Tech,Virginia Tech
Fresno St.,TCU,TCU
Purdue,Appalachian St.,Purdue
Abilene Christian,Denver,Abilene Christian
Alabama,Northeastern,Northeastern
Belmont,Lipscomb,Belmont
Cal St. Bakersfield,Central Michigan,Central Michigan
UC Irvine,Santa Clara,UC Irvine
Central Arkansas,Pittsburgh,Pittsburgh
UCF,Cal St. Fullerton,UCF
Davidson,Wichita St.,Davidson
Delaware,Cornell,Delaware
Hartford,Quinnipiac,Hartford
Mississippi Valley St.,Utah,Utah
Monmouth,West Virginia,West Virginia
North Carolina Central,Bowling Green,Bowling Green
Ohio St.,Creighton,Ohio St.
Oral Roberts,BYU,BYU
Pacific,Idaho St.,Pacific
Penn St.,DePaul,DePaul
Saint Joseph's,Wake Forest,Saint Joseph's
Southern Miss,Troy,Southern Miss
Valparaiso,Western Kentucky,Western Kentucky
Weber St.,San Jose St.,Weber St.
William & Mary,Illinois Chicago,Illinois Chicago
Louisiana Lafayette,Kansas,Kansas
Coppin St.,Virginia,Virginia
Little Rock,Nevada,Nevada
Tennessee Tech,North Carolina,North Carolina
Eastern Kentucky,Kansas St.,Kansas St.
Syracuse,Oregon,Oregon
Virginia Tech,Northeastern,Virginia Tech
Long Beach St.,Mississippi St.,Mississippi St.
St. Francis PA,UCLA,UCLA
Louisiana Tech,LSU,LSU
Purdue,Davidson,Purdue
Air Force,UMBC,UMBC
Alcorn St.,Vanderbilt,Vanderbilt
Appalachian St.,Wichita St.,Wichita St.
Arkansas St.,Grand Canyon,Grand Canyon
Austin Peay,Central Connecticut,Austin Peay
Ball St.,Alabama,Alabama
Binghamton,Northwestern,Northwestern
Cal Baptist,Tulsa,Tulsa
Central Michigan,Weber St.,Weber St.
Charleston Southern,Middle Tennessee,Middle Tennessee
Chattanooga,South Alabama,South Alabama
Chicago St.,Akron,Akron
The Citadel,Texas,Texas
Coastal Carolina,Manhattan,Manhattan
Connecticut,Iowa,Iowa
Delaware St.,Longwood,Longwood
East Carolina,Georgia Tech,Georgia Tech
Florida A&M,Campbell,Campbell
FIU,Fordham,Fordham
Gardner Webb,Savannah St.,Gardner Webb
Georgia Southern,Florida Atlantic,Georgia Southern
Grambling St.,Loyola Chicago,Loyola Chicago
Green Bay,Eastern Washington,Green Bay
Harvard,Rhode Island,Rhode Island
Hofstra,Maryland,Maryland
Holy Cross,Stony Brook,Holy Cross
Howard,Massachusetts,Howard
Incarnate Word,Montana,Montana
Fort Wayne,Dayton,Dayton
IUPUI,Richmond,Richmond
Jackson St.,Boise St.,Boise St.
James Madison,Charlotte,James Madison
Kennesaw St.,Missouri,Missouri
Liberty,Kent St.,Liberty
Loyola Marymount,Georgetown,Loyola Marymount
Loyola MD,Temple,Temple
UMass Lowell,Brown,Brown
Milwaukee,Cincinnati,Cincinnati
Mississippi,Butler,Butler
UMKC,Morehead St.,Morehead St.
Nebraska Omaha,Colorado,Colorado
New Hampshire,American,American
Niagara,Wyoming,Niagara
Nicholls St.,Baylor,Baylor
Norfolk St.,Siena,Siena
UNC Asheville,Northern Kentucky,Northern Kentucky
North Dakota St.,Miami OH,Miami OH
Northern Iowa,Penn,Penn
Oakland,UNLV,UNLV
Ohio,South Florida,South Florida
Old Dominion,Oregon St.,Oregon St.
Princeton,Lehigh,Lehigh
Sacred Heart,Army,Sacred Heart
Saint Joseph's,UCF,UCF
Sam Houston St.,Georgia,Georgia
South Carolina St.,Cleveland St.,Cleveland St.
South Dakota,High Point,High Point
South Dakota St.,Florida Gulf Coast,Florida Gulf Coast
Southeast Missouri St.,Jacksonville,Southeast Missouri St.
St. John's,Rutgers,St. John's
Tennessee Martin,Mercer,Mercer
Towson,Pepperdine,Pepperdine
Utah Valley,Utah St.,Utah St.
Valparaiso,Monmouth,Valparaiso
Vermont,Louisville,Louisville
Wake Forest,Cal St. Fullerton,Wake Forest
Western Kentucky,West Virginia,Western Kentucky
Youngstown St.,Columbia,Youngstown St.
Furman,Villanova,Furman
Michigan,George Washington,Michigan
Presbyterian,Marquette,Marquette
Alabama A&M,BYU,BYU
Albany,Canisius,Albany
Arkansas Pine Bluff,Southern Illinois,Southern Illinois
Army,UMass Lowell,UMass Lowell
Bethune Cookman,Miami FL,Miami FL
Boston University,Eastern Michigan,Eastern Michigan
Bradley,Illinois Chicago,Illinois Chicago
Cal St. Bakersfield,San Jose St.,Cal St. Bakersfield
Chattanooga,Southeast Missouri St.,Southeast Missouri St.
Coastal Carolina,UNC Asheville,Coastal Carolina
Cornell,NJIT,Cornell
Drexel,La Salle,Drexel
East Tennessee St.,Winthrop,East Tennessee St.
Eastern Washington,UMKC,Eastern Washington
Florida Atlantic,Towson,Florida Atlantic
FIU,Columbia,FIU
Georgia Southern,Pepperdine,Georgia Southern
Green Bay,Morehead St.,Green Bay
Houston Baptist,Wisconsin,Wisconsin
Incarnate Word,North Dakota St.,Incarnate Word
Jacksonville,South Alabama,Jacksonville
Lipscomb,SMU,Lipscomb
Maine,North Carolina St.,North Carolina St.
Manhattan,Northern Kentucky,Northern Kentucky
UMBC,High Point,UMBC
Maryland Eastern Shore,North Texas,North Texas
Mississippi Valley St.,Robert Morris,Robert Morris
Montana,Miami OH,Montana
Montana St.,UC Santa Barbara,UC Santa Barbara
New Mexico St.,New Mexico,New Mexico St.
Norfolk St.,Stony Brook,Stony Brook
North Alabama,Pittsburgh,Pittsburgh
North Florida,Wright St.,Wright St.
Northern Iowa,Eastern Kentucky,Northern Iowa
Northwestern St.,Rice,Rice
Old Dominion,Kennesaw St.,Old Dominion
Portland,Cal St. Northridge,Portland
Prairie View A&M,Lamar,Lamar
Radford,Duquesne,Duquesne
Sacred Heart,Brown,Brown
Saint Louis,Seton Hall,Saint Louis
South Carolina,Providence,Providence
Southern,George Mason,George Mason
Stetson,Southeastern Louisiana,Southeastern Louisiana
Texas St.,Drake,Drake
Wagner,Fairfield,Wagner
Western Illinois,Eastern Illinois,Eastern Illinois
William & Mary,Notre Dame,Notre Dame
Yale,Memphis,Memphis
Youngstown St.,Fordham,Fordham
VMI,Kentucky,Kentucky
Tennessee Tech,Michigan St.,Michigan St.
Penn,Kansas St.,Kansas St.
Virginia Tech,Purdue,Virginia Tech
Michigan,Providence,Michigan
Air Force,South Dakota,Air Force
Alabama,Wichita St.,Alabama
Alcorn St.,Kent St.,Kent St.
Army,Brown,Brown
Austin Peay,Campbell,Campbell
Ball St.,Appalachian St.,Ball St.
Bryant,Navy,Navy
