,Away Team,Home Team,Winner,Away Win,0,1,2,3,4,5,6,7
0,Michigan St.,Kansas,Kansas,N,0.29826382258781553,0.01901252220773933,0.16695619640035947,0.07008223331982255,-0.044470551393833206,-0.0630741107923342,-0.12594471184993472,0.049289454338321326
1,Duke,Kentucky,Duke,Y,0.13394209326049386,-0.03855689318350243,-0.15996114583645812,-0.10743628816959724,-0.2010858909596672,0.13393848982607265,-0.04179966904233818,0.06038026240681428
2,Idaho St.,Gonzaga,Gonzaga,N,-1.0546795525043204,0.3074776331123907,0.12464493810357906,-0.06976675247935488,0.1354736689782297,-0.04664158276826931,-0.06954237454584314,0.019218721647792255
3,Towson,Virginia,Virginia,N,-0.9437806859867613,-0.04806923812563569,0.08597900047318849,0.18057503181327017,0.10567020308148276,0.05509450988442063,-0.05928957326258202,0.012952556047220017
4,BYU,Nevada,Nevada,N,-0.23746001751280682,0.08014954749606856,-0.03826588950163855,0.04406114662517875,0.010803146417638231,0.01257801791986338,0.019550108720602352,0.00437429709949629
5,North Carolina,Wofford,North Carolina,Y,0.12648196552162877,-0.18018526585151537,0.026734242660030844,0.21097394260712826,0.04053885277177235,0.28890583356319477,0.02073441267739645,0.02683553195344452
6,Morgan St.,Villanova,Villanova,N,-0.781633855667379,-0.294965932724794,-0.31029514013772597,-0.08983772405459757,-0.09222216778695129,0.08236892470641287,0.050124983625476446,0.17035571582066228
7,South Alabama,Auburn,Auburn,N,-0.42750358459271076,0.03585872547915046,0.2888448774045097,0.137676368820578,-0.2056285530078262,-0.08841505209064995,0.06813062199590633,-0.08378529915892613
8,Portland St.,Oregon,Oregon,N,-0.6202074347698995,-0.00503223516424219,-0.04890507007393534,0.3596508839679398,0.23127028665379362,0.12166925353450075,-0.04425456034567201,0.12302991034755756
9,Eastern Washington,Syracuse,Syracuse,N,-0.3432638983982824,0.4102809518293388,0.44960856866427473,0.03260407126463775,0.10248337574965177,0.038403764079560455,0.2034109135184077,0.11787257456596725
10,Florida,Florida St.,Florida St.,N,-0.0414028690625916,0.003111381066618365,-0.09745188179817246,-0.2845475797342923,-0.07174510324325903,-0.05505975763045769,-0.12048385249303142,-0.05168248268624662
11,Norfolk St.,Michigan,Michigan,N,-0.7159621020007394,-0.1315360315523053,-0.23165471178089675,0.2657817926732495,0.04017775638392593,-0.3127817608140547,0.07554879678914646,0.12923857458719706
12,Fort Wayne,UCLA,UCLA,N,-0.10580259926939965,0.3381244219444651,-0.11401248082211023,-0.23944433730418163,0.0360698809153746,-0.06389386469189069,0.06547526669117798,-0.09190343874873723
13,The Citadel,Clemson,Clemson,N,-0.5474789891686924,0.49539943710540585,-0.2628084488483167,0.03701603952951708,-0.1236678125848119,0.0591625798315682,-0.098600823783461,0.23436045892859111
14,Southeastern Louisiana,LSU,LSU,N,-0.4198447909932993,-0.12158596517139181,0.21370649867160105,-0.023130878560717966,-0.07668700465643631,-0.36193250581115916,0.14035382324902326,-0.016328416688491373
15,Fairfield,Purdue,Purdue,N,-0.7145432206417734,-0.08182907268613554,0.0029626204564100313,-0.11998936566789785,-0.11266374887931563,-0.20403479487058163,0.20611284784948147,-0.04740725625021923
16,Western Kentucky,Washington,Washington,N,-0.11237165958853086,0.12835505683968745,0.33816106731609785,0.233894563107851,0.024745862179699162,0.18325950532450613,0.04418518778484749,0.01525987513279514
17,Alabama A&M,South Florida,South Florida,N,-0.6229820271464793,0.27962854272133414,0.08332045863382463,-0.42926209358871925,-0.11527718829448202,0.009648983646231662,-0.11864394771521072,-0.01537865499828556
18,Alabama St.,Iowa St.,Iowa St.,N,-0.8073646359026271,-0.3404462427688796,-0.041856008258241956,0.06851297636237326,0.039240121995008204,-0.09421292451478507,0.05670226394851906,0.09586031134253624
19,Alcorn St.,Tulsa,Tulsa,N,-0.6015760311443825,-0.14213762968081003,0.10274337360818099,-0.16456360976792747,0.09376702171344753,-0.19759996661157783,-0.1962995816814705,0.1778272215077499
20,Arkansas Pine Bluff,San Diego St.,San Diego St.,N,-0.44523037785026653,-0.07937142719548328,-0.09961881246232253,0.15147062464619596,0.042481858465925657,-0.1784737540204837,0.03048683610261835,-0.0018165232346167325
21,Boston University,Northeastern,Boston University,Y,-0.30660993441292606,-0.08741663678253672,0.014272630423251845,-0.0979953597321357,0.13436888717935244,-0.028213425637015243,-0.09778194958022993,0.07900032095618682
22,Bryant,Rhode Island,Rhode Island,N,-0.3951031166943883,0.3528476271883818,-0.0598766938683949,0.07390631432203228,0.02936258667783712,-0.11403494156517213,-0.0029820590470815036,-0.03976249624537868
23,Cal St. Fullerton,Arizona St.,Arizona St.,N,-0.24129946057923207,0.029801494687902975,0.18991605215321533,-0.10721025348587014,-0.20032569186964858,0.020717008812394553,0.05363135412636286,-0.051944490020085415
24,UC Riverside,Oregon St.,Oregon St.,N,-0.4062573431957552,0.22156474514935262,0.2457651210729265,-0.2560269484032578,-0.03849807354977179,-0.2027287416278914,0.06225443721480044,0.1904344431839524
25,UC Santa Barbara,Wyoming,UC Santa Barbara,Y,0.43463109132873046,-0.06750667749045393,0.04859820404107592,0.05489959327647465,0.22683370492507998,0.07771399259522299,-0.2690061138188587,0.13571258798645705
26,Central Arkansas,Missouri,Missouri,N,-0.43112395065862624,0.16114215587399253,-0.16119079559867408,0.10444501574749383,-0.22000742314185887,0.11731487353828572,0.04563630266244295,-0.08652621830601231
27,Central Connecticut,Hartford,Central Connecticut,Y,-0.27368571995826363,-0.2755182133727617,0.135037874721471,0.07882548645070575,0.08351934695409267,0.14005036287109074,-0.0052398170932938404,0.03485539700103715
