,Away Team,Home Team,Winner,Away Win,ADJOE_diff,ADJDE_diff,BARTHAG_diff,EFG_O_diff,EFG_D_diff,TOR_diff,TORD_diff,ORB_diff,DRB_diff,FTR_diff,FTRD_diff,2P_O_diff,2P_D_diff,3P_O_diff,3P_D_diff,ADJ_T_diff,WAB_diff
0,Michigan St.,Kansas,Kansas,N,7.0,-1.4000000000000057,0.05049999999999999,2.6000000000000014,-3.8999999999999986,-0.3000000000000007,-3.299999999999999,3.799999999999997,-1.5,1.1000000000000014,-0.3000000000000007,1.6999999999999957,-4.100000000000001,2.799999999999997,-2.0,-2.9000000000000057,2.3999999999999986
1,Duke,Kentucky,Duke,Y,1.4000000000000057,-0.5999999999999943,0.007800000000000029,0.6000000000000014,-1.6000000000000014,-1.1000000000000014,1.5,-1.1999999999999957,4.0,-8.699999999999996,-2.8000000000000007,5.100000000000001,1.3999999999999986,-4.599999999999998,-4.399999999999999,6.699999999999989,2.3999999999999986
2,Idaho St.,Gonzaga,Gonzaga,N,-20.700000000000003,26.69999999999999,-0.7854000000000001,-7.0,11.899999999999999,2.700000000000001,-4.0,-5.699999999999999,3.0,-6.4999999999999964,4.700000000000003,-11.0,10.800000000000004,-0.09999999999999432,9.200000000000003,-3.700000000000003,-21.3
3,Towson,Virginia,Virginia,N,-23.400000000000006,19.69999999999999,-0.7235,-7.300000000000004,7.399999999999999,4.100000000000001,-2.3000000000000007,4.800000000000004,1.9000000000000021,-1.0,6.699999999999999,-4.899999999999999,5.099999999999994,-6.899999999999999,6.800000000000004,4.099999999999994,-28.0
4,BYU,Nevada,Nevada,N,-2.5,6.8999999999999915,-0.17500000000000004,-0.9000000000000057,3.0,0.7000000000000011,-1.5999999999999979,-3.5,2.1000000000000014,-0.7999999999999972,7.399999999999999,-0.19999999999999574,2.0,-1.7000000000000028,3.3999999999999986,1.9000000000000057,-6.9
5,North Carolina,Wofford,North Carolina,Y,3.6999999999999886,-5.699999999999989,0.06900000000000006,-4.600000000000001,-1.0,1.0999999999999979,-0.8000000000000007,3.4999999999999964,-2.3999999999999986,2.3999999999999986,-3.400000000000002,-1.7999999999999972,-2.700000000000003,-5.199999999999996,0.8999999999999986,8.900000000000006,6.0
6,Morgan St.,Villanova,Villanova,N,-22.799999999999997,12.5,-0.7478,-9.5,3.0,1.0,5.899999999999999,1.5,7.5000000000000036,-0.10000000000000142,11.7,-12.200000000000003,2.6999999999999957,-2.1000000000000014,2.4000000000000057,8.5,-20.900000000000002
7,South Alabama,Auburn,Auburn,N,-18.5,11.399999999999991,-0.5457000000000001,-1.5,0.3999999999999986,2.6999999999999993,-4.900000000000002,-6.100000000000001,-0.8999999999999986,4.200000000000003,0.20000000000000284,-0.6000000000000014,-0.10000000000000142,-1.1000000000000014,0.8000000000000043,-1.5999999999999943,-17.0
8,Portland St.,Oregon,Oregon,N,-7.0,19.5,-0.6174,-5.100000000000001,7.300000000000004,1.5999999999999979,-2.099999999999998,9.100000000000001,-0.3000000000000007,7.899999999999999,9.399999999999999,-3.3000000000000043,5.800000000000004,-5.300000000000001,5.799999999999997,5.099999999999994,-10.9
9,Eastern Washington,Syracuse,Syracuse,N,-10.400000000000006,12.200000000000003,-0.5325,0.6999999999999957,4.399999999999999,-1.3999999999999986,-6.5,-5.599999999999998,-9.799999999999997,-9.799999999999997,0.5,-0.3999999999999986,3.200000000000003,1.5,4.5,1.7000000000000028,-12.3
