,Away Team,Home Team,Winner,Away Win,ADJOE_diff,ADJDE_diff,BARTHAG_diff,EFG_O_diff,EFG_D_diff,TOR_diff,TORD_diff,ORB_diff,DRB_diff,FTR_diff,FTRD_diff,2P_O_diff,2P_D_diff,3P_O_diff,3P_D_diff,ADJ_T_diff,WAB_diff
0,Michigan St.,Kansas,Kansas,N,0.6508422664624807,0.3395522388059702,0.5556590591523055,0.555205047318612,0.2627737226277371,0.49751243781094523,0.3263157894736843,0.5749385749385748,0.4596774193548387,0.555045871559633,0.47818181818181815,0.5080213903743314,0.3217391304347824,0.6117647058823529,0.37674418604651166,0.42033898305084716,0.5784832451499118
1,Duke,Kentucky,Duke,Y,0.565084226646248,0.3544776119402987,0.530798789007918,0.4921135646687697,0.34671532846715314,0.45771144278606957,0.5789473684210527,0.45208845208845216,0.6814516129032258,0.3302752293577983,0.43272727272727274,0.5989304812834224,0.4811594202898549,0.32156862745098047,0.26511627906976754,0.7457627118644063,0.5784832451499118
2,Idaho St.,Gonzaga,Gonzaga,N,0.2266462480857579,0.8638059701492535,0.06899161620866318,0.25236593059936907,0.8394160583941606,0.6467661691542289,0.2894736842105263,0.3415233415233415,0.6411290322580645,0.3807339449541285,0.5690909090909091,0.16844919786096246,0.7536231884057971,0.49803921568627474,0.8976744186046512,0.39322033898305064,0.16049382716049382
3,Towson,Virginia,Virginia,N,0.18529862174578848,0.7332089552238805,0.10503027480204935,0.24290220820189257,0.6751824817518247,0.7164179104477613,0.3789473684210526,0.5995085995085996,0.5967741935483871,0.5068807339449541,0.6054545454545455,0.33155080213903737,0.588405797101449,0.23137254901960785,0.7860465116279072,0.6576271186440675,0.042328042328042326
4,BYU,Nevada,Nevada,N,0.5053598774885144,0.49440298507462677,0.4243712156497438,0.4447949526813878,0.5145985401459854,0.5472636815920399,0.41578947368421065,0.3955773955773956,0.6048387096774194,0.511467889908257,0.6181818181818182,0.4572192513368984,0.498550724637681,0.4352941176470587,0.627906976744186,0.5830508474576273,0.4144620811287478
5,North Carolina,Wofford,North Carolina,Y,0.6003062787136291,0.25932835820895556,0.566429902189101,0.3280757097791797,0.36861313868613127,0.5671641791044775,0.45789473684210524,0.5675675675675674,0.4233870967741936,0.5848623853211009,0.42181818181818176,0.4144385026737968,0.3623188405797099,0.29803921568627467,0.5116279069767442,0.8203389830508476,0.6419753086419753
6,Morgan St.,Villanova,Villanova,N,0.19448698315467072,0.5988805970149255,0.09088262692128546,0.17350157728706622,0.5145985401459854,0.5621890547263682,0.8105263157894735,0.5184275184275184,0.8225806451612905,0.5275229357798165,0.6963636363636363,0.1363636363636362,0.5188405797101447,0.41960784313725485,0.5813953488372096,0.8067796610169491,0.16754850088183415
7,South Alabama,Auburn,Auburn,N,0.26033690658499226,0.5783582089552238,0.20854680950163013,0.4258675078864353,0.4197080291970801,0.6467661691542288,0.24210526315789466,0.33169533169533166,0.4838709677419355,0.6261467889908258,0.48727272727272736,0.4465240641711229,0.4376811594202897,0.45882352941176463,0.5069767441860468,0.46440677966101707,0.23633156966490299
8,Portland St.,Oregon,Oregon,N,0.4364471669218988,0.7294776119402986,0.16680251513740102,0.3123028391167192,0.6715328467153285,0.5920398009950247,0.3894736842105264,0.7051597051597052,0.5080645161290323,0.7110091743119266,0.6545454545454545,0.3743315508021388,0.6086956521739131,0.2941176470588235,0.7395348837209301,0.6915254237288133,0.3439153439153439
9,Eastern Washington,Syracuse,Syracuse,N,0.38437978560490027,0.5932835820895523,0.21623195156031672,0.49526813880126164,0.5656934306569342,0.4427860696517414,0.1578947368421053,0.34398034398034405,0.1250000000000001,0.30504587155963314,0.49272727272727274,0.4518716577540106,0.5333333333333333,0.5607843137254902,0.6790697674418604,0.576271186440678,0.31922398589065254
